pipeline_id,arrival_seconds,priority,operator_id,parents,baseline_cpu_seconds,cpu_scaling,memory_gb,storage_read_gb
p1,0.0,BATCH_PIPELINE,op1,,1,const,,55
p1,,,op2,op1,1,const,,55
p1,,,op3,op2,1,const,,55
p1,,,op4,op3,1,const,,55
p1,,,op5,op4,1,const,,55
p1,,,op6,op5,1,const,,55
p1,,,op7,op6,1,const,,55
p2,0.0,BATCH_PIPELINE,op1,,1,const,,55
p2,,,op2,op1,1,const,,55
p2,,,op3,op2,1,const,,55
p2,,,op4,op3,1,const,,55
p2,,,op5,op4,1,const,,55
p2,,,op6,op5,1,const,,55
p2,,,op7,op6,1,const,,55
p2,,,op8,op7,1,const,,55
p2,,,op9,op8,1,const,,55
p2,,,op10,op9,1,const,,55
p2,,,op11,op10,1,const,,55
p2,,,op12,op11,1,const,,55
p3,0.0,QUERY,op1,,15,linear3,,35
p4,0.0,BATCH_PIPELINE,op1,,1,const,,55
p4,,,op2,op1,1,const,,55
p4,,,op3,op2,1,const,,55
p4,,,op4,op3,1,const,,55
p4,,,op5,op4,1,const,,55
p4,,,op6,op5,1,const,,55
p4,,,op7,op6,1,const,,55
p4,,,op8,op7,1,const,,55
p4,,,op9,op8,1,const,,55
p4,,,op10,op9,1,const,,55
p5,0.0,BATCH_PIPELINE,op1,,1,const,,55
p5,,,op2,op1,1,const,,55
p5,,,op3,op2,1,const,,55
p5,,,op4,op3,1,const,,55
p5,,,op5,op4,1,const,,55
p5,,,op6,op5,1,const,,55
p5,,,op7,op6,1,const,,55
p5,,,op8,op7,1,const,,55
p5,,,op9,op8,1,const,,55
p6,0.0,BATCH_PIPELINE,op1,,1,const,,55
p6,,,op2,op1,1,const,,55
p6,,,op3,op2,1,const,,55
p6,,,op4,op3,1,const,,55
p6,,,op5,op4,1,const,,55
p6,,,op6,op5,1,const,,55
p6,,,op7,op6,1,const,,55
p6,,,op8,op7,1,const,,55
p6,,,op9,op8,1,const,,55
p6,,,op10,op9,1,const,,55
p6,,,op11,op10,1,const,,55
p6,,,op12,op11,1,const,,55
p7,0.0,BATCH_PIPELINE,op1,,1,const,,55
p7,,,op2,op1,1,const,,55
p7,,,op3,op2,1,const,,55
p7,,,op4,op3,1,const,,55
p7,,,op5,op4,1,const,,55
p7,,,op6,op5,1,const,,55
p7,,,op7,op6,1,const,,55
p7,,,op8,op7,1,const,,55
p7,,,op9,op8,1,const,,55
p7,,,op10,op9,1,const,,55
p8,0.0,BATCH_PIPELINE,op1,,1,const,,55
p8,,,op2,op1,1,const,,55
p8,,,op3,op2,1,const,,55
p8,,,op4,op3,1,const,,55
p8,,,op5,op4,1,const,,55
p8,,,op6,op5,1,const,,55
p8,,,op7,op6,1,const,,55
p8,,,op8,op7,1,const,,55
p8,,,op9,op8,1,const,,55
p8,,,op10,op9,1,const,,55
p8,,,op11,op10,1,const,,55
p9,0.0,QUERY,op1,,15,linear3,,35
p10,0.0,BATCH_PIPELINE,op1,,1,const,,55
p10,,,op2,op1,1,const,,55
p10,,,op3,op2,1,const,,55
p10,,,op4,op3,1,const,,55
p10,,,op5,op4,1,const,,55
p10,,,op6,op5,1,const,,55
p10,,,op7,op6,1,const,,55
p11,1.3,BATCH_PIPELINE,op1,,1,const,,55
p11,,,op2,op1,1,const,,55
p11,,,op3,op2,1,const,,55
p11,,,op4,op3,1,const,,55
p11,,,op5,op4,1,const,,55
p11,,,op6,op5,1,const,,55
p11,,,op7,op6,1,const,,55
p11,,,op8,op7,1,const,,55
p11,,,op9,op8,1,const,,55
p12,1.3,BATCH_PIPELINE,op1,,1,const,,55
p12,,,op2,op1,1,const,,55
p12,,,op3,op2,1,const,,55
p12,,,op4,op3,1,const,,55
p12,,,op5,op4,1,const,,55
p12,,,op6,op5,1,const,,55
p12,,,op7,op6,1,const,,55
p12,,,op8,op7,1,const,,55
p12,,,op9,op8,1,const,,55
p12,,,op10,op9,1,const,,55
p12,,,op11,op10,1,const,,55
p12,,,op12,op11,1,const,,55
p12,,,op13,op12,1,const,,55
p13,1.3,BATCH_PIPELINE,op1,,1,const,,55
p13,,,op2,op1,1,const,,55
p13,,,op3,op2,1,const,,55
p13,,,op4,op3,1,const,,55
p13,,,op5,op4,1,const,,55
p13,,,op6,op5,1,const,,55
p13,,,op7,op6,1,const,,55
p13,,,op8,op7,1,const,,55
p14,1.3,QUERY,op1,,15,linear3,,35
p15,1.3,BATCH_PIPELINE,op1,,1,const,,55
p15,,,op2,op1,1,const,,55
p15,,,op3,op2,1,const,,55
p15,,,op4,op3,1,const,,55
p15,,,op5,op4,1,const,,55
p15,,,op6,op5,1,const,,55
p15,,,op7,op6,1,const,,55
p15,,,op8,op7,1,const,,55
p15,,,op9,op8,1,const,,55
p15,,,op10,op9,1,const,,55
p16,1.3,QUERY,op1,,15,linear3,,35
p17,1.3,BATCH_PIPELINE,op1,,1,const,,55
p17,,,op2,op1,1,const,,55
p17,,,op3,op2,1,const,,55
p17,,,op4,op3,1,const,,55
p17,,,op5,op4,1,const,,55
p17,,,op6,op5,1,const,,55
p17,,,op7,op6,1,const,,55
p17,,,op8,op7,1,const,,55
p17,,,op9,op8,1,const,,55
p17,,,op10,op9,1,const,,55
p17,,,op11,op10,1,const,,55
p17,,,op12,op11,1,const,,55
p17,,,op13,op12,1,const,,55
p17,,,op14,op13,1,const,,55
p17,,,op15,op14,1,const,,55
p18,1.3,BATCH_PIPELINE,op1,,1,const,,55
p18,,,op2,op1,1,const,,55
p18,,,op3,op2,1,const,,55
p18,,,op4,op3,1,const,,55
p18,,,op5,op4,1,const,,55
p18,,,op6,op5,1,const,,55
p18,,,op7,op6,1,const,,55
p18,,,op8,op7,1,const,,55
p19,1.3,BATCH_PIPELINE,op1,,1,const,,55
p19,,,op2,op1,1,const,,55
p19,,,op3,op2,1,const,,55
p19,,,op4,op3,1,const,,55
p19,,,op5,op4,1,const,,55
p19,,,op6,op5,1,const,,55
p19,,,op7,op6,1,const,,55
p19,,,op8,op7,1,const,,55
p19,,,op9,op8,1,const,,55
p19,,,op10,op9,1,const,,55
p19,,,op11,op10,1,const,,55
p20,1.3,QUERY,op1,,15,linear3,,35
p21,2.3000000000000003,BATCH_PIPELINE,op1,,1,const,,55
p21,,,op2,op1,1,const,,55
p21,,,op3,op2,1,const,,55
p21,,,op4,op3,1,const,,55
p21,,,op5,op4,1,const,,55
p21,,,op6,op5,1,const,,55
p21,,,op7,op6,1,const,,55
p22,2.3000000000000003,BATCH_PIPELINE,op1,,1,const,,55
p22,,,op2,op1,1,const,,55
p22,,,op3,op2,1,const,,55
p22,,,op4,op3,1,const,,55
p22,,,op5,op4,1,const,,55
p22,,,op6,op5,1,const,,55
p22,,,op7,op6,1,const,,55
p22,,,op8,op7,1,const,,55
p22,,,op9,op8,1,const,,55
